Project ID;Project Name;Scope; Type;Region;Country;State;"Total Credits 
Issued";Year
1340;Optima KV, LLC;Agriculture;Manure Methane Digester;North America;United States;NORTH CAROLINA;68.536;2019
1345;El Nopalillo - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;2.771;2018
1347;Cima de Togo - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;9.212;2018
1348;Chacalapa - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;2.462;2018
1350;El Ocote - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;1.931;2018
1351;Sangre de Cristo - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;1.024;2018
1352;Xahuayalulco - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;6.255;2018
1353;Hueyapan - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;1.474;2018
1354;Las Puentes y Anexos - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;5.930;2018
1355;La Estancia - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;1.861;2018
1356;El Ventorrillo - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;1.892;2018
1357;San Lorenzo Sayula - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;2.996;2018
1358;Sabanetas - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;1.387;2018
1359;Tecocomulco - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;1.413;2018
1360;Emiliano Zapata - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;1.688;2018
1361;Los Romeros - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;3.207;2018
1362;San Pedro Huixotitla - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;4.891;2018
1363;Puentecillas y Anexos - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;3.342;2018
1364;Alhuajoyucan - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;1.409;2018
1366;Ixtula y Sembo - ASRTulancingo;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;964;2018
1368;Pine Creek Improved Forest Management Project;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;397.099;2019
1372;Rochelle Municipal Landfill;Waste Management;Landfill Methane;North America;United States;ILLINOIS;457.737;2018
1373;Finite Carbon - Stevenson AL IFM;Forestry & Land Use;Improved Forest Management;North America;United States;ALABAMA;526.099;2020
1374;Finite Carbon - Stevenson TN IFM;Forestry & Land Use;Improved Forest Management;North America;United States;TENNESSEE;453.422;2020
1375;Carbono Otomí La Florida;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;HIDALGO;4.130;2018
1377;Proyecto de Captura de Carbono Forestal en Bienes Comunales de Santiago Tlacotepec;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;STATE OF MÉXICO;13.035;2019
1381;RBS 2019;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;1.587.095;2021
1382;Cohasset 2019;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;162.370;2020
1384;Mosquito 2019;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;504.480;2020
1385;North Stirling 2019;Forestry & Land Use;Improved Forest Management;North America;United States;CALIFORNIA;0;
1387;San Jerónimo ZacapexCO2 - Ejido;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;STATE OF MÉXICO;33.763;2018
1388;San Jerónimo ZacapexCO2 - Bienes Comunales;Forestry & Land Use;Improved Forest Management;Latin America and the Caribbean;Mexico;STATE OF MÉXICO;42.710;2018
1391;Finite Carbon - Lyme Wisconsin IFM;Forestry & Land Use;Improved Forest Management;North America;United States;WISCONSIN;840.423;2020
